Line,"Adult/
Larval",Main annotator,Lab,Quality,Sex difference,VNC only,Brain only,DOI to cite,First author(s) & year,Janelia Robot ID,Cell types,EM Body IDs,Alias,Genotype
SS00043,Adult,Tanya Wolff,Rubin,1,N,No,No,10.1002/cne.24512,Wolff; 2018,2502208,PFNa,,GMR_65B12-x-GMR_30E10,w; 65B12-p65ADZp in attP40; 30E10-ZpGdbd in attP2
SS00078,Adult,Tanya Wolff,Rubin,1,N,No,Yes,10.1002/cne.24512,Wolff; 2018,2502243,PFNd,,GMR_16D01-x-GMR_15E01,w; 16D01-p65ADZp in attP40; 15E01-ZpGdbd in attP2
SS00090,Adult,Tanya Wolff,Rubin,1,N,No,Yes,10.1002/cne.24512,Wolff; 2018,2502255,EPG,,GMR_19G02-x-GMR_15C03,w; 19G02-p65ADZp in attP40; 15C03-ZpGdbd in attP2
SS00098,Adult,Tanya Wolff,Rubin,1,N,No,No,10.1002/cne.24512,Wolff; 2018,2502263,EPG,,GMR_19G02-x-GMR_93G12,w; 19G02-p65ADZp in attP40; 93G12-ZpGdbd in attP2
SS00191,Adult,Tanya Wolff,Rubin,1,N,No,Yes,10.1002/cne.24512,Wolff; 2018,2502356,"PFNm_a, PFNm_b, PFNp_a, PFNp_b, PFNp_c, PFNp_d, PFNp_e",,GMR_38G07-x-GMR_37H01,w; 38G07-p65ADZp in attP40/CyO; 37H01-ZpGdbd in attP2
SS02191,Adult,Tanya Wolff,Rubin,2,N,No,No,10.1002/cne.24512,Wolff; 2018,3017970,PEG,,VT000355-x-VT040589,w; VT000355-p65ADZp in attP40/CyO::Tb-RFP; VT040589-ZpGdbd in attP2/TM6B
SS02195,Adult,Tanya Wolff,Rubin,1,N,No,No,10.1002/cne.24512,Wolff; 2018,3017974,PEcG,,VT000355-x-GMR_47A08,w; VT000355-p65ADZp in attP40; 47A08-ZpGdbd in attP2
SS02254,Adult,Tanya Wolff,Rubin,2,N,No,No,10.1002/cne.24512,Wolff; 2018,3018120,EPGt,,GMR_15E01-x-VT016114,w; 15E01-p65ADZp in attP40; VT016114-ZpGdbd in attP2
SS02270,Adult,Tanya Wolff,Rubin,2,N,No,No,10.1002/cne.24512,Wolff; 2018,3018136,PFR_a,,GMR_30G06-x-GMR_27A10,w; 30G06-p65ADZp in attP40; 27A10-ZpGdbd in attP2
SS02293,Adult,Tanya Wolff,Rubin,2,N,No,No,10.1002/cne.24512,Wolff; 2018,3018159,"PFR_a, PFR_b",,GMR_41G11-x-VT005534,w; 41G11-p65ADZp in attP40; VT005534-ZpGdbd in attP2
SS02718,Adult,Tanya Wolff,Rubin,1,N,No,Yes,10.1002/cne.24512,Wolff; 2018,3018714,"vDeltaA_a, vDeltaA_a, vDeltaA_b, vDeltaA_b",,VT005529-x-GMR_83D12,w; VT005529-p65ADZp in attP40; 83D12-ZpGdbd in attP2/TM6B
SS04778,Adult,Tanya Wolff,Rubin,1,N,No,No,10.1002/cne.24512,Wolff; 2018,3021786,IbSpsP,,GMR_47G08-x-VT012791,w; 47G08-p65ADZp in attP40/CyO::Tb-RFP; VT012791-ZpGdbd in attP2
SS20046,Adult,Tanya Wolff,Rubin,2,N,No,No,10.1002/cne.24512,Wolff; 2018,3028332,PFGs,,VT000355-x-GMR_21E02,w; VT000355-p65ADZp in attP40; 21E02-ZpGdbd in attP2
SS24258,Adult,Tanya Wolff,Rubin,1,N,No,No,10.1002/cne.24512,Wolff; 2018,3029111,AF,,VT058568-x-GMR_83D12,w; VT058568-p65ADZp in attP40; 83D12-ZpGdbd in attP2/TM6B
SS25983,Adult,Tanya Wolff,Rubin,2,N,No,No,10.1002/cne.24512,Wolff; 2018,3031576,"IbSpsP, IbSpsP",,GMR_47G08-x-GMR_26F04,w; 47G08-p65ADZp in attP40/CyO::Tb-RFP; 26F04-ZpGdbd in attP2
SS27853,Adult,Tanya Wolff,Rubin,2,N,No,No,10.1002/cne.24512,Wolff; 2018,3024263,PEG,,GMR_33A12-x-VT040589,w; 33A12-p65ADZp in JK22C/CyO::Tb-RFP; VT040589-ZpGdbd in attP2
SS46507,Adult,Tanya Wolff,Rubin,2,Y,No,No,10.1002/cne.24512,Wolff; 2018,3027305,LCNOp,,VT040713-x-VT006486,w; VT040713-p65ADZp in attP40; VT006486-ZpGdbd in attP2
SS46512,Adult,Tanya Wolff,Rubin,2,N,No,No,10.1002/cne.24512,Wolff; 2018,3027306,LAL.s-GAi.s-NO1i.b,,VT049354-x-VT026669,w; VT049354-p65ADZp in attP40; VT026669-ZpGdbd in attP2
SS46515,Adult,Tanya Wolff,Rubin,2,N,No,No,10.1002/cne.24512,Wolff; 2018,3027292,LAL.s-GAi.s-NO1i.b,,VT049354-x-VT006199,w; VT049354-p65ADZp in attP40; VT006199-ZpGdbd in attP2
SS46517,Adult,Tanya Wolff,Rubin,1,N,No,Yes,10.1002/cne.24512,Wolff; 2018,3027309,GLNO,,VT037871-x-VT060202,w; VT037871-p65ADZp in attP40/CyO::Tb-RFP; VT060202-ZpGdbd in attP2
SS46525,Adult,Tanya Wolff,Rubin,2,N,No,No,10.1002/cne.24512,Wolff; 2018,3027352,LCNOp,,VT000605-x-VT006199,w; VT000605-p65ADZp in attP40; VT006199-ZpGdbd in attP2
SS47384,Adult,Tanya Wolff,Rubin,1,N,No,No,10.1002/cne.24512,Wolff; 2018,3027357,LCNOpm,,VT048946-x-VT008882,w; VT048946-p65ADZp in attP40; VT008882-ZpGdbd in attP2
SS47398,Adult,Tanya Wolff,Rubin,3,N,No,No,10.1002/cne.24512,Wolff; 2018,3027345,LNO1,,VT020742-x-VT017270,w; VT020742-p65ADZp in attP40; VT017270-ZpGdbd in attP2
SS47405,Adult,Tanya Wolff,Rubin,2,N,No,No,10.1002/cne.24512,Wolff; 2018,3030303,LNO1,,VT020742-x-GMR_73E12,w; VT020742-p65ADZp in attP40/CyO::Tb-RFP; 73E12-ZpGdbd in attP2
SS47406,Adult,Tanya Wolff,Rubin,1,N,No,No,10.1002/cne.24512,Wolff; 2018,3027367,LNOa,,VT006486-x-VT024603,w; VT006486-p65ADZp in attP40/CyO::Tb-RFP; VT024603-ZpGdbd in attP2
SS47436,Adult,Tanya Wolff,Rubin,2,N,No,No,10.1002/cne.24512,Wolff; 2018,3027373,GLNO,,GMR_12G04-x-VT046049,w; 12G04-p65ADZp in attP40; VT046049-ZpGdbd in attP2
SS50447,Adult,Tanya Wolff,Rubin,1,N,No,No,10.1002/cne.24512,Wolff; 2018,3028099,vDeltaA_a,,VT008281-x-VT008652,w; VT008281-p65ADZp in attP40; VT008652-ZpGdbd in attP2
SS50498,Adult,Tanya Wolff,Rubin,1,N,No,Yes,10.1002/cne.24512,Wolff; 2018,3028104,"SA1_a, Slp-A",,GMR_26C06-x-VT017124,w; 26C06-p65ADZp in attP40; VT017124-ZpGdbd in attP2
SS50502,Adult,Tanya Wolff,Rubin,1,N,No,Yes,10.1002/cne.24512,Wolff; 2018,3028119,"SA1_a, SA1_c, SA2_a, SA2_b, SA3",,GMR_26C06-x-GMR_72A10,w; 26C06-p65ADZp in attP40; 72A10-ZpGdbd in attP2
SS50510,Adult,Tanya Wolff,Rubin,1,N,No,Yes,10.1002/cne.24512,Wolff; 2018,3028105,"SA1_b, SA1_c, SA2_a, SA2_b, SA3",,GMR_42C09-x-VT017124,w; 42C09-p65ADZp in attP40; VT017124-ZpGdbd in attP2
SS50576,Adult,Tanya Wolff,Rubin,1,N,No,No,10.1002/cne.24512,Wolff; 2018,3030323,EPGt,,VT017491-x-GMR_65H10,w[1118]; P{y[+t7.7] w[+mC]=VT017491-p65.AD}attP40; P{y[+t7.7] w[+mC]=R65H10-GAL4.DBD}attP2
SS52244,Adult,Tanya Wolff,Rubin,1,N,No,No,10.1002/cne.24512,Wolff; 2018,3028329,"PFNm_a, PFNm_b, PFNp_a, PFNp_b, PFNp_c, PFNp_d, PFNp_e",,VT039497-x-GMR_48A11,w; VT039497-p65ADZp in attP40/CyO::Tb-RFP; 48A11-ZpGdbd in attP2
SS52245,Adult,Tanya Wolff,Rubin,1,N,No,Yes,10.1002/cne.24512,Wolff; 2018,3030027,"PFNm+p, PFNp+m",,VT039497-x-GMR_83D12,w; VT039497-p65ADZp in attP40; 83D12-ZpGdbd in attP2/TM6B
SS52257,Adult,Tanya Wolff,Rubin,1,N,No,No,10.1002/cne.24512,Wolff; 2018,3028324,Delta7,,VT043920-x-GMR_24A02,w; VT043920-p65ADZp in attP40; 24A02-ZpGdbd in attP2
SS52313,Adult,Tanya Wolff,Rubin,1,N,No,No,10.1002/cne.24512,Wolff; 2018,3030019,Delta7,,GMR_45G06-x-GMR_27G01,w; 45G06-p65ADZp in attP40; 27G01-ZpGdbd in attP2/TM6B
SS52547,Adult,Tanya Wolff,Rubin,2,N,No,No,10.1002/cne.24512,Wolff; 2018,3030291,PFGs,,VT000355-x-VT061918,w[1118]; P{y[+t7.7] w[+mC]=VT000355-p65.AD}attP40; P{y[+t7.7] w[+mC]=VT061918-GAL4.DBD}attP2
SS52577,Adult,Tanya Wolff,Rubin,1,N,No,Yes,10.1002/cne.24512,Wolff; 2018,3028433,PFNv,,VT063307-x-VT019742,w; VT063307-p65ADZp in attP40; VT019742-ZpGdbd in attp2
SS52578,Adult,Tanya Wolff,Rubin,1,N,No,No,10.1002/cne.24512,Wolff; 2018,3028418,LPsP,,VT029577-x-VT038817,w; VT029577-p65ADZp in attP40/CyO::Tb-RFP; VT038817-ZpGdbd in attp2
SS52590,Adult,Tanya Wolff,Rubin,2,N,No,No,10.1002/cne.24512,Wolff; 2018,3028424,PFGs,,VT017491-x-VT000355,w; VT017491-p65ADZp in attP40; VT000355-ZpGdbd in attp2
SS52631,Adult,Tanya Wolff,Rubin,2,N,No,No,10.1002/cne.24512,Wolff; 2018,3028450,PFNd,,GMR_22G07-x-GMR_55C11,"w; ; 22G07-p65ADZp in JK73A, 55C11-ZpGdbd in attp2/TM3"
SS52669,Adult,Tanya Wolff,Rubin,1,N,No,No,10.1002/cne.24512,Wolff; 2018,3028449,PFNd,,GMR_68A10-x-GMR_75H10,w; 68A10-p65ADZp in attP40/CyO::Tb-RFP; 75H10-ZpGdbd in attp2
SS53161,Adult,Tanya Wolff,Rubin,1,N,No,Yes,10.1002/cne.24512,Wolff; 2018,3028428,PFNv,,VT063307-x-VT057247,w; VT063307-p65ADZp in attP40; VT057247-ZpGdbd in attp2/TM6B
SS53185,Adult,Tanya Wolff,Rubin,1,N,No,Yes,10.1002/cne.24512,Wolff; 2018,3029084,PFL1,,GMR_11B11-x-VT063731,w; 11B11-p65ADZp in attP40/CyO::Tb-RFP; VT063731-ZpGdbd in attP2
SS54295,Adult,Tanya Wolff,Rubin,1,N,No,Yes,10.1002/cne.24512,Wolff; 2018,3028434,PEN_b(PEN2),,VT026664-x-VT032907,w; VT026664-p65ADZp in attP40; VT032907-ZpGdbd in attp2/TM6B
SS54549,Adult,Gerry Rubin,Rubin,1,N,No,No,10.1002/cne.24512,Wolff; 2018,3029433,PFR_b,,GMR_38B06-x-VT027015,w; 38B06-p65ADZp in attP40; VT027015-ZpGdbd in attP2
SS56247,Adult,Tanya Wolff,Rubin,1,N,No,No,10.1002/cne.24512,Wolff; 2018,3031579,P1-9,,VT019012-x-VT064562,w; VT019012-p65ADZp in attP40; VT064562-ZpGdbd in attP2/TM6B
MB546B,Adult,Yoshi Aso,Aso,1,N,No,No,10.1016/j.cub.2019.01.009,Jovanic; 2019,2501892,VL1_ilPN,"1912789965, 2166133204",GMR_65G01_BB_21-x-GMR_82D04_AV_01,"w[1118]; P{y[+t7.7] w[+mC]=R65G01-p65.AD}attP40/CyO, P{w[+mC]=2xTb[1]-RFP}CyO; P{y[+t7.7] w[+mC]=R82D04-GAL4.DBD}attP2"
SS01965,Adult,DI,DI,1,N,Not determined,Not determined,10.1016/j.cub.2019.01.009,Jovanic; 2019,3017334,DNa04x2,,VT043086-x-VT047755,"w[1118]; P{y[+t7.7] w[+mC]=VT043086-p65.AD}attP40; P{y[+t7.7] w[+mC]=VT047755-GAL4.DBD}attP2/TM6B, Tb[1]"
SS45512,Adult,Kaiyu Wang,Dickson,2,Y,No,No,10.1016/j.cub.2020.07.083,"Wang, Wang; 2020",3026785,Abg_SN,,VT043658-x-VT036267,w; VT043658-p65ADZp in attP40; VT036267-ZpGdbd in attP2
SS53459,Adult,Kaiyu Wang,Dickson,2,Y,No,No,10.1016/j.cub.2020.07.083,"Wang, Wang; 2020",3028354,pC2l,,VT029750-x-GMR_20G10,w; VT029750-p65ADZp in attP40; 20G10-ZpGdbd in attP2/TM6B
SS60797,Adult,Kaiyu Wang,Dickson,1,N,No,No,10.1016/j.cub.2020.07.083,"Wang, Wang; 2020",3032626,Abg_MN,,GMR_TDC2-x-BJD_dsx,"w[1118]; TI{GAL4(DBD)::Zip-}dsx[GAL4(DBD)::Zip-] PBac{y[+mDint2] w[+mC]=Tdc2-p65.AD}VK00027/TM3, Sb[1]"
SS61089,Adult,Kaiyu Wang,Dickson,1,Y,No,No,10.1016/j.cub.2020.07.083,"Wang, Wang; 2020",3032693,DNp13,887195902,VT038159-x-GMR_20C08,w; 38159-p65ADZp in attP40/CyO; 20C08-ZpGdbd in attP2/TM6B
SS61090,Adult,Kaiyu Wang,Dickson,1,N,No,No,10.1016/j.cub.2020.07.083,"Wang, Wang; 2020",3032694,DNp13,887195902,VT038159-x-VT029317,w; 38159-p65ADZp in attP40/CyO; VT029317-ZpGdbd in attP2/TM6B
SS01562,Adult,DI,DI,1,N,No,No,10.1016/j.cub.2022.01.008,"Namiki, Ros; 2022",3016861,,,GMR_42B02-x-VT039465,w[1118]; P{y[+t7.7] w[+mC]=R42B02-p65.AD}attP40; P{y[+t7.7] w[+mC]=VT039465-GAL4.DBD}attP2
SS01563,Adult,DI,DI,2,N,No,No,10.1016/j.cub.2022.01.008,"Namiki, Ros; 2022",3016862,,,GMR_42B02-x-VT058697,w[1118]; P{y[+t7.7] w[+mC]=R42B02-p65.AD}attP40; P{y[+t7.7] w[+mC]=VT058697-GAL4.DBD}attP2
SS01577,Adult,DI,DI,2,N,No,No,10.1016/j.cub.2022.01.008,"Namiki, Ros; 2022",3016876,,,VT039465-x-VT011148,w[1118]; P{y[+t7.7] w[+mC]=VT039465-p65.AD}attP40; P{y[+t7.7] w[+mC]=VT011148-GAL4.DBD}attP2
SS01578,Adult,DI,DI,1,N,No,No,10.1016/j.cub.2022.01.008,"Namiki, Ros; 2022",3016877,,,VT039465-x-VT061933,w; VT039465-p65ADZ in attP40; VT061933-ZpGDBD in attP2
SS02544,Adult,DI,DI,2,N,No,No,10.1016/j.cub.2022.01.008,"Namiki, Ros; 2022",3018536,,,GMR_19G08-x-VT020379,w[1118]; P{y[+t7.7] w[+mC]=R19G08-p65.AD}attP40; P{y[+t7.7] w[+mC]=VT020379-GAL4.DBD}attP2
SS02550,Adult,DI,DI,1,N,No,No,10.1016/j.cub.2022.01.008,"Namiki, Ros; 2022",3018542,,,GMR_42B02-x-VT020379,"w[1118]; P{y[+t7.7] w[+mC]=R42B02-p65.AD}attP40; P{y[+t7.7] w[+mC]=VT020379-GAL4.DBD}attP2/TM6B, Tb[1]"
SS02551,Adult,DI,DI,1,N,No,No,10.1016/j.cub.2022.01.008,"Namiki, Ros; 2022",3018543,,,GMR_42B02-x-VT025789,w[1118]; P{y[+t7.7] w[+mC]=R42B02-p65.AD}attP40; P{y[+t7.7] w[+mC]=VT025789-GAL4.DBD}attP2
SS02627,Adult,DI,DI,1,N,No,No,10.1016/j.cub.2022.01.008,"Namiki, Ros; 2022",3018677,,,VT042835-x-VT039465,w[1118]; P{y[+t7.7] w[+mC]=VT042835-p65.AD}attP40; P{y[+t7.7] w[+mC]=VT039465-GAL4.DBD}attP2
SS02630,Adult,DI,DI,1,N,No,No,10.1016/j.cub.2022.01.008,"Namiki, Ros; 2022",3018680,,,GMR_19G08-x-VT023750,w[1118]; P{y[+t7.7] w[+mC]=R19G08-p65.AD}attP40; P{y[+t7.7] w[+mC]=VT023750-GAL4.DBD}attP2
SS17963,Adult,Aljoscha Nern,Rubin,1,N,No,No,10.1016/j.cub.2022.06.019,Baker; 2022,3024544,"AVLP111 and/or similar, AVLP_pr03",,GMR_81C11-x-GMR_72F09,w[1118]; P{y[+t7.7] w[+mC]=R81C11-p65.AD}attP40; P{y[+t7.7] w[+mC]=R72F09-GAL4.DBD}attP2
SS21914,Adult,Aljoscha Nern,Rubin,2,N,No,No,10.1016/j.cub.2022.06.019,Baker; 2022,3023127,"AVLP TBD, AVLP_pr04",,GMR_52G04-x-GMR_52H01,"w[1118]; P{y[+t7.7] w[+mC]=R52G04-p65.AD}attP40; P{y[+t7.7] w[+mC]=R52H01-GAL4.DBD}attP2/TM6B, Tb[+]"
SS23281,Adult,Aljoscha Nern,Rubin,2,N,No,No,10.1016/j.cub.2022.06.019,Baker; 2022,3023268,"AVLP TBD, AVLP_pr05, AVLP-PN1",,VT062612-x-VT026543,"w[1118]; P{y[+t7.7] w[+mC]=VT062612-p65.AD}attP40/CyO, P{w[+mC]=2xTb[1]-RFP}CyO; P{y[+t7.7] w[+mC]=VT026543-GAL4.DBD}attP2"
SS23627,Adult,Aljoscha Nern,Rubin,1,N,No,Yes,10.1016/j.cub.2022.06.019,Baker; 2022,3023705,"AVLP TBD, AVLP_pr06",,VT003275-x-VT005539,w[1118]; P{y[+t7.7] w[+mC]=VT003275-p65.AD}attP40; P{y[+t7.7] w[+mC]=VT005539-GAL4.DBD}attP2
SS27953,Adult,Claire McKellar,Dickson,2,N,No,No,10.1016/j.cub.2022.06.019,Baker; 2022,3031430,AVLP_pr09,,GMR_95D03-x-GMR_83B04,w[1118]; P{y[+t7.7] w[+mC]=R95D03-p65.AD}attP40; P{y[+t7.7] w[+mC]=R83B04-GAL4.DBD}attP2
SS28822,Adult,Aljoscha Nern,Rubin,1,N,No,No,10.1016/j.cub.2022.06.019,Baker; 2022,3024769,"AVLP TBD, AVLP_pr10",,VT057295-x-VT019732,w[1118]; P{y[+t7.7] w[+mC]=VT057295-p65.AD}attP40; P{y[+t7.7] w[+mC]=VT019732-GAL4.DBD}attP2
SS29136,Adult,Claire McKellar,Dickson,1,N,No,No,10.1016/j.cub.2022.06.019,Baker; 2022,3031431,AVLP_pr11,,GMR_43D07-x-VT019732,w[1118]; P{y[+t7.7] w[+mC]=R43D07-p65.AD}attP40; P{y[+t7.7] w[+mC]=VT019732-GAL4.DBD}attP2
SS35456,Adult,Claire McKellar,Dickson,1,N,No,No,10.1016/j.cub.2022.06.019,Baker; 2022,3031439,AVLP_pr14,,VT038216-x-VT005539,"w[1118]; P{y[+t7.7] w[+mC]=VT038216-p65.AD}attP40/CyO, P{w[+mC]=2xTb[1]-RFP}CyO; P{y[+t7.7] w[+mC]=VT005539-GAL4.DBD}attP2"
SS35471,Adult,Claire McKellar,Dickson,1,N,No,No,10.1016/j.cub.2022.06.019,Baker; 2022,3031442,AVLP_pr15,,GMR_24D12-x-GMR_10B02,w[1118]; P{y[+t7.7] w[+mC]=R24D12-p65.AD}attP40; P{y[+t7.7] w[+mC]=R10B02-GAL4.DBD}attP2
SS35484,Adult,Claire McKellar,Dickson,1,N,No,No,10.1016/j.cub.2022.06.019,Baker; 2022,3031444,AVLP_pr16,,GMR_28E01-x-GMR_43D07,"w[1118]; P{y[+t7.7] w[+mC]=R28E01-p65.AD}attP40/CyO, P{w[+mC]=2xTb[1]-RFP}CyO; P{y[+t7.7] w[+mC]=R43D07-GAL4.DBD}attP2/TM6B, Tb[1]"
SS35502,Adult,Claire McKellar,Dickson,1,N,No,Yes,10.1016/j.cub.2022.06.019,Baker; 2022,3031449,AVLP_pr18,,GMR_28E01-x-GMR_89G04,w[1118]; P{y[+t7.7] w[+mC]=R28E01-p65.AD}attP40/CyO; P{y[+t7.7] w[+mC]=R89G04-GAL4.DBD}attP2
SS35916,Adult,Claire McKellar,Dickson,1,N,No,No,10.1016/j.cub.2022.06.019,Baker; 2022,3031452,WED_pr02,,VT013504-x-GMR_11C07,w[1118]; P{y[+t7.7] w[+mC]=VT013504-p65.AD}attP40; P{y[+t7.7] w[+mC]=R11C07-GAL4.DBD}attP2
SS36960,Adult,Claire McKellar,Dickson,1,N,No,Yes,10.1016/j.cub.2022.06.019,Baker; 2022,3031470,AVLP_pr21,,GMR_52E12-x-VT055068,w[1118]; P{y[+t7.7] w[+mC]=R52E12-p65.AD}attP40; P{y[+t7.7] w[+mC]=VT055068-GAL4.DBD}attP2
SS36971,Adult,Claire McKellar,Dickson,2,Y,No,Yes,10.1016/j.cub.2022.06.019,Baker; 2022,3031473,SIP_pr01,,GMR_42F06-x-GMR_11A07,"w[1118]; P{y[+t7.7] w[+mC]=R42F06-p65.AD}attP40; P{y[+t7.7] w[+mC]=R11A07-GAL4.DBD}attP2/TM6B, Tb[1]"
SS38918,Adult,Claire McKellar,Dickson,1,N,No,Yes,10.1016/j.cub.2022.06.019,Baker; 2022,3031479,"AVLP_pr23, AV2 [S14]",,GMR_11B11-x-GMR_31C03,w[1118]; P{y[+t7.7] w[+mC]=R11B11-p65.AD}attP40; P{y[+t7.7] w[+mC]=R31C03-GAL4.DBD}attP2
SS40316,Adult,Claire McKellar,Dickson,1,N,No,Yes,10.1016/j.cub.2022.06.019,Baker; 2022,3031486,PVLP_pr03,,VT023842-x-VT017411,w[1118]; P{y[+t7.7] w[+mC]=VT023842-p65.AD}attP40; P{y[+t7.7] w[+mC]=VT017411-GAL4.DBD}attP2
SS40361,Adult,Claire McKellar,Dickson,1,N,No,Yes,10.1016/j.cub.2022.06.019,Baker; 2022,3031490,AVLP_pr25,,VT057295-x-GMR_73H04,"w[1118]; P{y[+t7.7] w[+mC]=VT057295-p65.AD}attP40; P{y[+t7.7] w[+mC]=R73H04-GAL4.DBD}attP2/TM6B, Tb[1]"
SS40366,Adult,Claire McKellar,Dickson,2,N,No,Yes,10.1016/j.cub.2022.06.019,Baker; 2022,3029064,AVLP_pr26,,GMR_65A11-x-VT014480,w[1118]; P{y[+t7.7] w[+mC]=R65A11-p65.AD}attP40; P{y[+t7.7] w[+mC]=VT014480-GAL4.DBD}attP2
SS41704,Adult,Claire McKellar,Dickson,1,N,No,Yes,10.1016/j.cub.2022.06.019,Baker; 2022,3031495,PLP_pr02,,GMR_12C04-x-VT029570,w[1118]; P{y[+t7.7] w[+mC]=R12C04-p65.AD}attP40; P{y[+t7.7] w[+mC]=VT029570-GAL4.DBD}attP2
SS41728,Adult,Claire McKellar,Dickson,1,N,No,Yes,10.1016/j.cub.2022.06.019,Baker; 2022,3031494,AVLP_pr31,,GMR_11C10-x-VT059438,w[1118]; P{y[+t7.7] w[+mC]=R11C10-p65.AD}attP40/CyO; P{y[+t7.7] w[+mC]=VT059438-GAL4.DBD}attP2
SS41730,Adult,Claire McKellar,Dickson,1,N,No,No,10.1016/j.cub.2022.06.019,Baker; 2022,3031511,AVLP_pr32,,VT029570-x-VT059438,"w[1118]; P{y[+t7.7] w[+mC]=VT029570-p65.AD}attP40/CyO; P{y[+t7.7] w[+mC]=VT059438-GAL4.DBD}attP2/TM6B, Tb[1]"
SS41739,Adult,Claire McKellar,Dickson,1,N,No,Yes,10.1016/j.cub.2022.06.019,Baker; 2022,3031514,SAD_pr01,,VT040004-x-VT044105,w[1118]; P{y[+t7.7] w[+mC]=VT040004-p65.AD}attP40/CyO; P{y[+t7.7] w[+mC]=VT044105-GAL4.DBD}attP2
SS43321,Adult,Claire McKellar,Dickson,1,N,No,Yes,10.1016/j.cub.2022.06.019,Baker; 2022,3031506,SAD/AMMC_pr01,,VT009665-x-VT063231,"w[1118]; P{y[+t7.7] w[+mC]=VT009665-p65.AD}attP40/CyO; P{y[+t7.7] w[+mC]=VT063231-GAL4.DBD}attP2/TM6B, Tb[1]"
SS43466,Adult,Claire McKellar,Dickson,1,N,No,Yes,10.1016/j.cub.2022.06.019,Baker; 2022,3031509,SMP_pr01,,VT026990-x-GMR_76B06,w[1118]; P{y[+t7.7] w[+mC]=VT026990-p65.AD}attP40; P{y[+t7.7] w[+mC]=R76B06-GAL4.DBD}attP2
SS44510,Adult,Claire McKellar,Dickson,1,N,No,No,10.1016/j.cub.2022.06.019,Baker; 2022,3031515,IB_pr01,,VT040592-x-GMR_29F02,w[1118]; P{y[+t7.7] w[+mC]=VT040592-p65.AD}attP40/CyO; P{y[+t7.7] w[+mC]=R29F02-GAL4.DBD}attP2
SS45858,Adult,Claire McKellar,Dickson,1,N,No,No,10.1016/j.cub.2022.06.019,Baker; 2022,3031500,AVLP_pr35,,GMR_68A10-x-GMR_21D07,w[1118]; P{y[+t7.7] w[+mC]=R68A10-p65.AD}attP40/CyO; P{y[+t7.7] w[+mC]=R21D07-GAL4.DBD}attP2
SS47261,Adult,Claire McKellar,Dickson,1,N,No,No,10.1016/j.cub.2022.06.019,Baker; 2022,3031504,AVLP_pr36,,VT008153-x-VT029570,"w[1118]; P{y[+t7.7] w[+mC]=VT008153-p65.AD}attP40/CyO; P{y[+t7.7] w[+mC]=VT029570-GAL4.DBD}attP2/TM6B, Tb[1]"
SS47509,Adult,Claire McKellar,Dickson,2,N,No,No,10.1016/j.cub.2022.06.019,Baker; 2022,3031496,AVLP_pr37,,GMR_13A08-x-GMR_52F01,w[1118]; P{y[+t7.7] w[+mC]=R13A08-p65.AD}attP40/CyO; P{y[+t7.7] w[+mC]=R52F01-GAL4.DBD}attP2
SS42738,Adult,Kaiyu Wang,Dickson,1,N,No,No,10.1016/j.cub.2024.01.015,Lillvis; 2023,3040579,WN_LN_mixed,,VT026999-x-VT018838,"w[1118]; P{y[+t7.7] w[+mC]=VT026999-p65.AD}attP40/CyO, P{w[+mC]=2xTb[1]-RFP}CyO; P{y[+t7.7] w[+mC]=VT018838-GAL4.DBD}attP2/TM6B, Tb[1]"
SS46542,Adult,Kaiyu Wang,Dickson,1,Y,No,No,10.1016/j.cub.2024.01.015,Lillvis; 2023,3027850,pIP10,,VT040556-x-VT040347,w[1118]; P{y[+t7.7] w[+mC]=VT040556-p65.AD}attP40; P{y[+t7.7] w[+mC]=VT040347-GAL4.DBD}attP2
SS50245,Adult,Kaiyu Wang,Dickson,2,N,No,No,10.1016/j.cub.2024.01.015,Lillvis; 2023,3029795,WN_LN_mixed,,GMR_77C10-x-GMR_20A03,"w[1118]; P{y[+t7.7] w[+mC]=R77C10-p65.AD}attP40; P{y[+t7.7] w[+mC]=R20A03-GAL4.DBD}attP2/TM6B, Tb[1]"
SS51755,Adult,Kaiyu Wang,Dickson,1,N,No,No,10.1016/j.cub.2024.01.015,Lillvis; 2023,3029774,AN,,VT015971-x-VT015971,"w[1118]; P{y[+t7.7] w[+mC]=VT015971-p65.AD}attP40/CyO, P{w[+mC]=2xTb[1]-RFP}CyO; P{y[+t7.7] w[+mC]=VT015971-GAL4.DBD}attP2"
SS51772,Adult,Kaiyu Wang,Dickson,2,N,No,No,10.1016/j.cub.2024.01.015,Lillvis; 2023,3029781,WN_LN_mixed,,VT042732-x-VT019074,w[1118]; P{y[+t7.7] w[+mC]=VT042732-p65.AD}attP40; P{y[+t7.7] w[+mC]=VT019074-GAL4.DBD}attP2
SS52458,Adult,Kaiyu Wang,Dickson,1,N,Yes,No,10.1016/j.cub.2024.01.015,Lillvis; 2023,3029665,WN_LN_mixed,,VT044168-x-VT038817,"w[1118]; P{y[+t7.7] w[+mC]=VT044168-p65.AD}attP40/CyO, P{w[+mC]=2xTb[1]-RFP}CyO; P{y[+t7.7] w[+mC]=VT038817-GAL4.DBD}attP2"
